date,ethereum_count,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros
2021-01-31,6699,0.17146227145468504,0.5238970860107173,0.17146227145468504,0.5238970860107173
2021-02-01,9822,0.22577420243268692,0.5313480416268658,0.22577420243268692,0.5313480416268658
2021-02-02,15205,0.17753008763244865,0.5196338166237009,0.17753008763244865,0.5196338166237009
2021-02-03,15176,0.17185208459240386,0.5180986482555084,0.17185208459240386,0.5180986482555084
2021-02-04,13679,0.16842400978480648,0.5254740547805304,0.16842400978480648,0.5254740547805304
2021-02-05,13596,0.16372600262073966,0.529325922633455,0.16372600262073966,0.529325922633455
2021-02-06,11113,0.16771663550458654,0.52452882967357,0.16771663550458654,0.52452882967357
2021-02-07,10342,0.1627203509357111,0.5263435099354974,0.1627203509357111,0.5263435099354974
2021-02-08,12905,0.16556222573162205,0.5239352702224863,0.16556222573162205,0.5239352702224863
2021-02-09,12804,0.17952783116054993,0.5170280174121514,0.17952783116054993,0.5170280174121514
2021-02-10,13455,0.22501159543097699,0.5306292006684502,0.22501159543097699,0.5306292006684502
2021-02-11,11646,0.19520651291639354,0.5290385803550856,0.19520651291639354,0.5290385803550856
2021-02-12,12535,0.16890985462024335,0.5318933482181021,0.16890985462024335,0.5318933482181021
2021-02-13,16327,0.2989142355524928,0.5649536026726285,0.2989142355524928,0.5649536026726285
2021-02-14,12751,0.2316775896195832,0.5207462319862888,0.2316775896195832,0.5207462319862888
2021-02-15,13479,0.20163171248586162,0.5117129943818624,0.20163171248586162,0.5117129943818624
2021-02-16,12203,0.18045557847104018,0.5163101455872472,0.18045557847104018,0.5163101455872472
2021-02-17,12204,0.17651529389129508,0.5218501354340307,0.17651529389129508,0.5218501354340307
2021-02-18,14356,0.16136233755215718,0.5185724902781299,0.16136233755215718,0.5185724902781299
2021-02-19,13759,0.15047249444943087,0.5179585793671233,0.15047249444943087,0.5179585793671233
2021-02-20,15637,0.16886628786378113,0.5290319896060144,0.16886628786378113,0.5290319896060144
2021-02-21,10893,0.17008037327336817,0.5251442899831446,0.17008037327336817,0.5251442899831446
2021-02-22,13401,0.15677147148840895,0.5329317275773249,0.15677147148840895,0.5329317275773249
2021-02-23,14839,0.15707252742538078,0.5232084968403936,0.15707252742538078,0.5232084968403936
2021-02-24,11802,0.20920986937969754,0.5516770636461329,0.20920986937969754,0.5516770636461329
2021-02-25,11021,0.18378282096260143,0.5331242576498535,0.18378282096260143,0.5331242576498535
2021-02-26,11018,0.17608300240033087,0.5203345524088098,0.17608300240033087,0.5203345524088098
2021-02-27,10915,0.19369003830854287,0.5366192296188599,0.19369003830854287,0.5366192296188599
2021-02-28,11427,0.16592486849772461,0.5276297018618422,0.16592486849772461,0.5276297018618422
2021-03-01,11805,0.18334287052746304,0.5128314626601498,0.18334287052746304,0.5128314626601498
2021-03-02,12077,0.19115528610111865,0.5120321659372208,0.19115528610111865,0.5120321659372208
2021-03-03,11513,0.19115696046735436,0.5198230613333299,0.19115696046735436,0.5198230613333299
2021-03-04,11515,0.20572388979066317,0.5473732495546172,0.20572388979066317,0.5473732495546172
